Courses,Duration
D.Th.,3 years
M.C.S.,3 years
B.D.,4 years
Integrated Bachelor of Divinity,5 years
B.C.S.,4 years
B.Miss.,3 years
Dip.C.P.C.,2 years
Dip.C.S.,2 years
M.Th.,2 years
M.C.P.,2 years
B.Th.,4 years
D.Min.,3 years
Dip. B.T.,2 years
DWM,1 year
