Courses,Duration
"B.A. in AIWH, Bengali, English, Linguistics, Philosophy, Pali, Sanskrit, Shastri Advaita Vedanta, Shastri Panini Shastri Sahitya",3 years
"M.A. in Sanskrit, Bengali, English, Philosophy, Ancient Indian & World History, AIWH – Global History, Linguistics",2 years
M.Phil.,2 years
