Ramananda College (College Code:117),,
Sl. No.,Subject,Intake Capacity
01.,Bengali,20
02.,English,20
03.,Sanskrit,20
04.,Mathematics,20
05.,Botany,18
Panchmura Mahavidyalaya (College Code:113),,
Sl. No.,Subject,Intake Capacity
01.,Bengali,25
02.,Mathematics,20
03.,History,20
