Courses,Duration
B.B.A.,3 years
B.C.A.,3 years
B.A.,3 years
B.Com.,3 years
B.Sc.,3 years
BLIS,1 year
LL.B.,3 years
M.A.,2 years
M.Sc.,2 years
M.C.A.,3 years
M.B.A.,2 years
MLIS,1 year
LL.M.,2 years
M.Phil.,2 years
Ph.D.,3 years
Diploma,1 year
PG Diploma,1 year
