Sl. No,Title
1,Environmental Studies
2,Office Management & Secrtarial Practice (Major)
3,Teacher Education Programme - B.Ed [Two Semester Programme]
4,Teacher Education Programme - Spl. B.Ed( V.I) [One Year Course]
5,Agro Service (Major)
6,Paramedical
7,Travel and Tourism Management (Major)
8,Industrial Fish Fisheries (Major)
9,B.PEd
10,Automobile Maintenance (Major)
11,Industrial Chemisry (Major)
12,Physical Education (General) - 3 Tier Exam Pattern
13,Zoology (H & G) - 3-Tier Exam Pattern
14,Statistics (H & G) - 3-Tier Exam Pattern
15,Sociology (H & G) - 3-Tier Exam Pattern
16,Santali (H & G) - 3-Tier Exam Pattern
17,Sanskrit (H & G) - 3-Tier Exam Pattern
18,Political Science (H & G) - 3-Tier Exam Pattern
19,Physiology (H & G) - 3-Tier Exam Pattern
20,Physics (H & G) - 3-Tier Exam Pattern
21,Philosophy (H & G) - 3-Tier Exam Pattern
22,Nutrition (H & G) - 3-Tier Exam Pattern
23,Music (H & G) - 3-Tier Exam Pattern
24,Microbiology (H) - 3-Tier Exam Pattern
25,Mathematics (H & G) - 3-Tier Exam Pattern
26,Marketing Management (H) - 3-Tier Exam Pattern
27,History (H & G) - 3-Tier Exam Pattern
28,Hindi (H & G) - 3-Tier Exam Pattern
29,Geography (H & G) - 3-Tier Exam Pattern
30,English (H & G) - 3-Tier Exam Pattern
31,Electronics (H & G) - 3-Tier Exam Pattern
32,Education (H & G) - 3-Tier Exam Pattern
33,Economics (H & G) - 3-Tier Exam Pattern
34,Computer Science (H & G) - 3-Tier Exam Pattern
35,Chemistry (H & G) - 3-Tier Exam Pattern
36,Botany (H & G) - 3-Tier Exam Pattern
37,Bio-Technology (H) - 3-Tier Exam Pattern
38,Bio-Chemistry (G) - 3-Tier Exam Pattern
39,Bengali (H & G) - 3-Tier Exam Pattern
40,Commerce (H & G) - 3-Tier Exam Pattern
41,Aquaculture (H) - 3-Tier Exam Pattern
42,Anthropology (H & G) - 3-Tier Exam Pattern
