university,URLs,paths,read
University of Burdwan,https://examstime.in/burdwan-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/University of Burdwan/url8.csv,NO
University of Calcutta,https://www.caluniv.ac.in/CBCS-PG/cbcs-pg.html,C:/Users/User/Desktop/uni selection/scraped_data/University of Calcutta/url1.csv,NO
University of Calcutta,https://www.caluniv.ac.in/academic/department/English/syllabus.pdf,C:/Users/User/Desktop/uni selection/scraped_data/University of Calcutta/url2.csv,YES
University of Calcutta,https://www.caluniv.ac.in/syllabus/Syllabus.html,C:/Users/User/Desktop/uni selection/scraped_data/University of Calcutta/url3.csv,NO
University of Calcutta,https://www.caluniv.ac.in/CBCS-PG/Zoology.pdf,C:/Users/User/Desktop/uni selection/scraped_data/University of Calcutta/url4.csv,YES
University of Calcutta,https://www.caluniv.ac.in/CBCS/cbcs.html,C:/Users/User/Desktop/uni selection/scraped_data/University of Calcutta/url5.csv,YES
University of Calcutta,https://examstime.in/calcutta-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/University of Calcutta/url6.csv,NO
Cooch Behar Panchanan Barma University,https://www.cbpbu.ac.in/pg-programmes.php,C:/Users/User/Desktop/uni selection/scraped_data/Cooch Behar Panchanan Barma University/url1.csv,NO
Cooch Behar Panchanan Barma University,https://cbpbu.ac.in/userfiles/file/PG%20Syllabus/EDUCATION%20(PG)%20SYLLABUS.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Cooch Behar Panchanan Barma University/url2.csv,NO
Cooch Behar Panchanan Barma University,https://cbpbu.ac.in/userfiles/file/2019/syllabus/PG-Syllabus-2019-20.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Cooch Behar Panchanan Barma University/url3.csv,YES
Cooch Behar Panchanan Barma University,https://examstime.in/cbpbu-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/Cooch Behar Panchanan Barma University/url4.csv,YES
Cooch Behar Panchanan Barma University,https://examstime.in/cbpbu-courses-and-syllabus/#About-CBPBU,C:/Users/User/Desktop/uni selection/scraped_data/Cooch Behar Panchanan Barma University/url5.csv,YES
Cooch Behar Panchanan Barma University,https://examstime.in/cbpbu-courses-and-syllabus/#CBPBU-Courses-List-and-Duration,C:/Users/User/Desktop/uni selection/scraped_data/Cooch Behar Panchanan Barma University/url6.csv,NO
Cooch Behar Panchanan Barma University,https://ubcn.in/cooch-behar-panchanan-barma-university-syllabus-2021-pdf-download/,C:/Users/User/Desktop/uni selection/scraped_data/Cooch Behar Panchanan Barma University/url7.csv,NO
Cooch Behar Panchanan Barma University,http://www.dinhatacollege.ac.in/cbpbu-syllabus.php,C:/Users/User/Desktop/uni selection/scraped_data/Cooch Behar Panchanan Barma University/url8.csv,NO
Cooch Behar Panchanan Barma University,http://coochbeharcollege.org.in/doc/CBCS%20Mathematics.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Cooch Behar Panchanan Barma University/url9.csv,NO
Diamond Harbour Women's University,http://www.dhwu.ac.in/syllabi.aspx,C:/Users/User/Desktop/uni selection/scraped_data/Diamond Harbour Women's University/url1.csv,NO
Diamond Harbour Women's University,http://dhwu.ac.in/docs/course/MA_English_Syllabus_for_DHWU.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Diamond Harbour Women's University/url2.csv,NO
Diamond Harbour Women's University,http://dhwu.ac.in/docs/course/Geography.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Diamond Harbour Women's University/url3.csv,NO
Diamond Harbour Women's University,http://dhwu.ac.in/docs/course/Womens-Studies-syllabus.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Diamond Harbour Women's University/url4.csv,NO
Diamond Harbour Women's University,http://dhwu.ac.in/docs/course/Physics.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Diamond Harbour Women's University/url5.csv,NO
Diamond Harbour Women's University,http://www.dhwu.ac.in/docs/course/Education-syllabus.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Diamond Harbour Women's University/url6.csv,NO
Diamond Harbour Women's University,http://dhwu.ac.in/docs/course/Mathematics.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Diamond Harbour Women's University/url7.csv,YES
Diamond Harbour Women's University,https://examstime.in/diamond-harbour-womens-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/Diamond Harbour Women's University/url8.csv,YES
University of Gour Banga,https://www.ugb.ac.in/,C:/Users/User/Desktop/uni selection/scraped_data/University of Gour Banga/url1.csv,YES
University of Gour Banga,https://examstime.in/gour-banga-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/University of Gour Banga/url2.csv,YES
University of Gour Banga,https://examstime.in/gour-banga-university-courses-and-syllabus/#About-University,C:/Users/User/Desktop/uni selection/scraped_data/University of Gour Banga/url3.csv,YES
University of Gour Banga,https://examstime.in/gour-banga-university-courses-and-syllabus/#Courses-Offered-Duration,C:/Users/User/Desktop/uni selection/scraped_data/University of Gour Banga/url4.csv,YES
University of Gour Banga,https://examstime.in/gour-banga-university-courses-and-syllabus/#Download-Year-wise-Syllabus,C:/Users/User/Desktop/uni selection/scraped_data/University of Gour Banga/url5.csv,YES
University of Gour Banga,https://www.collegeadmission.in/Universities/India/statewise/WestBengal/Gour_Banga_University/Notice2018/GBU_PG_Admission_2018.shtml,C:/Users/User/Desktop/uni selection/scraped_data/University of Gour Banga/url6.csv,NO
Jadavpur University,http://www.jaduniv.edu.in/upload_files/dept_file/1470745751-1.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Jadavpur University/url1.csv,NO
Jadavpur University,http://www.jaduniv.edu.in/upload_files/dept_file/1344329989-1.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Jadavpur University/url2.csv,NO
Jadavpur University,http://www.jaduniv.edu.in/upload_files/dept_file/1313490111-1.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Jadavpur University/url3.csv,NO
Jadavpur University,http://www.jaduniv.edu.in/upload_files/dept_file/1283169609-2.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Jadavpur University/url4.csv,YES
Jadavpur University,https://examstime.in/jadavpur-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/Jadavpur University/url5.csv,NO
Jadavpur University,https://www.indiastudycenter.com/Other/Syllabus/WB/JadavpurUniv/PG/MA-English/default.asp,C:/Users/User/Desktop/uni selection/scraped_data/Jadavpur University/url6.csv,YES
University of Kalyani,https://dodl.klyuniv.ac.in/syllabi.html,C:/Users/User/Desktop/uni selection/scraped_data/University of Kalyani/url1.csv,YES
University of Kalyani,https://examstime.in/kalyani-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/University of Kalyani/url2.csv,NO
Kanyashree University,http://www.kanyashreeuniversity.in/syllabus,C:/Users/User/Desktop/uni selection/scraped_data/Kanyashree University/url1.csv,NO
Kanyashree University,http://www.kanyashreeuniversity.in/,C:/Users/User/Desktop/uni selection/scraped_data/Kanyashree University/url2.csv,NO
Kanyashree University,http://www.kanyashreeuniversity.in/merit-list,C:/Users/User/Desktop/uni selection/scraped_data/Kanyashree University/url3.csv,NO
Kanyashree University,http://www.kanyashreeuniversity.in/notice,C:/Users/User/Desktop/uni selection/scraped_data/Kanyashree University/url4.csv,NO
Kanyashree University,http://www.kanyashreeuniversity.in/administration,C:/Users/User/Desktop/uni selection/scraped_data/Kanyashree University/url5.csv,NO
Kanyashree University,https://newsfromnadia.in/admission-to-kanyashree-university-begins-from-november-3/,C:/Users/User/Desktop/uni selection/scraped_data/Kanyashree University/url6.csv,YES
Kanyashree University,https://www.webexam.in/kanyashree-k3-scholarship/,C:/Users/User/Desktop/uni selection/scraped_data/Kanyashree University/url7.csv,NO
Kanyashree University,https://www.caluniv.ac.in/academic/department/English/syllabus.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Kanyashree University/url8.csv,NO
Kanyashree University,http://dhwu.ac.in/,C:/Users/User/Desktop/uni selection/scraped_data/Kanyashree University/url9.csv,NO
Kazi Nazrul University,https://www.knu.ac.in/,C:/Users/User/Desktop/uni selection/scraped_data/Kazi Nazrul University/url1.csv,NO
Kazi Nazrul University,http://www.knu.ac.in/Upload/Files/1.1.2_Syllabus_chg_min.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Kazi Nazrul University/url2.csv,NO
Kazi Nazrul University,https://www.knu.ac.in/view-syllabus-pdf/1602572665.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Kazi Nazrul University/url3.csv,YES
Kazi Nazrul University,https://examstime.in/kazi-nazrul-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/Kazi Nazrul University/url4.csv,YES
Kazi Nazrul University,https://examstime.in/kazi-nazrul-university-courses-and-syllabus/#About-Kazi-Nazrul-University,C:/Users/User/Desktop/uni selection/scraped_data/Kazi Nazrul University/url5.csv,YES
Kazi Nazrul University,https://examstime.in/kazi-nazrul-university-courses-and-syllabus/#Courses-List,C:/Users/User/Desktop/uni selection/scraped_data/Kazi Nazrul University/url6.csv,YES
Kazi Nazrul University,https://examstime.in/kazi-nazrul-university-courses-and-syllabus/#Courses-and-Duration,C:/Users/User/Desktop/uni selection/scraped_data/Kazi Nazrul University/url7.csv,YES
Kazi Nazrul University,https://management.ind.in/forum/kazi-nazrul-university-pg-bengali-syllabus-343631.html,C:/Users/User/Desktop/uni selection/scraped_data/Kazi Nazrul University/url8.csv,YES
Kazi Nazrul University,https://www.collegeadmission.in/Universities/India/statewise/WestBengal/Kazi_Nazrul_University/Notice2020/KNU_PG_Admission_2020.shtml,C:/Users/User/Desktop/uni selection/scraped_data/Kazi Nazrul University/url9.csv,NO
Maulana Abul Kalam Azad University of Technology,https://makautwb.ac.in/page.php?id=195,C:/Users/User/Desktop/uni selection/scraped_data/Maulana Abul Kalam Azad University of Technology/url1.csv,YES
Netaji Subhas Open University,http://www.wbnsou.ac.in/student_zone/courses/education/syllabus.shtml,C:/Users/User/Desktop/uni selection/scraped_data/Netaji Subhas Open University/url1.csv,NO
Netaji Subhas Open University,http://www.wbnsou.ac.in/student_zone/courses/humanities/syllabus/pgp/arts/pgsyllabus_english21052010.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Netaji Subhas Open University/url2.csv,YES
Netaji Subhas Open University,http://www.wbnsou.ac.in/naac/syllabus.shtml,C:/Users/User/Desktop/uni selection/scraped_data/Netaji Subhas Open University/url3.csv,NO
Netaji Subhas Open University,http://www.wbnsou.ac.in/student_zone/courses/social_science/syllabus/PGP/arts/20151105_PG_Syllabus_History.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Netaji Subhas Open University/url4.csv,NO
Netaji Subhas Open University,http://www.wbnsou.ac.in/student_zone/courses/social_science/syllabus/PGP/20191017_MA_HISTORY_Syllabus.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Netaji Subhas Open University/url5.csv,NO
Netaji Subhas Open University,https://www.indiastudycenter.com/Other/Syllabus/WB/WBNSOU/PG/MA-History/default.asp,C:/Users/User/Desktop/uni selection/scraped_data/Netaji Subhas Open University/url6.csv,NO
Netaji Subhas Open University,https://www.infinitecourses.com/Distance-Learning-Course.aspx?Course=M.A&CourseID=1758&UniversityID=118,C:/Users/User/Desktop/uni selection/scraped_data/Netaji Subhas Open University/url7.csv,NO
University of North Bengal,https://examstime.in/north-bengal-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/University of North Bengal/url1.csv,NO
University of North Bengal,https://www.nbu.ac.in/Downloads/Downloads.html,C:/Users/User/Desktop/uni selection/scraped_data/University of North Bengal/url2.csv,NO
University of North Bengal,https://www.nbu.ac.in/Academics/Academics%20Faculties/Departments%20SC/Dept%20of%20Physics/Downloads/Syllmsc.pdf,C:/Users/User/Desktop/uni selection/scraped_data/University of North Bengal/url3.csv,NO
University of North Bengal,http://www.ddenbu.in/ddefiles/syllabus/CBCS%20PG/M.A.%20Revised%20Syllabus%20English.pdf,C:/Users/User/Desktop/uni selection/scraped_data/University of North Bengal/url4.csv,NO
University of North Bengal,http://www.ddenbu.in/,C:/Users/User/Desktop/uni selection/scraped_data/University of North Bengal/url5.csv,YES
University of North Bengal,https://www.collegeadmission.in/Universities/India/statewise/WestBengal/North_Bengal_University/Notice2018/NBU_PG_Admission_2018.shtml,C:/Users/User/Desktop/uni selection/scraped_data/University of North Bengal/url6.csv,NO
University of North Bengal,https://www.collegeadmission.in/Universities/India/statewise/WestBengal/North_Bengal_University/Notice2020/NBU_Results_PG_3rd_4th_Semes_Old_Syllabus_Back_Exam_2019.shtml,C:/Users/User/Desktop/uni selection/scraped_data/University of North Bengal/url7.csv,NO
Presidency University,https://www.presiuniv.ac.in/web/DBS%20-%20final%20syllabus.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Presidency University/url1.csv,NO
Presidency University,https://www.presiuniv.ac.in/web/syllabus/syllabus_DBS.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Presidency University/url2.csv,NO
