Courses,Duration
B.Sc in Agriculture,4 years
B.Sc in Horticulture,4 years
B.Tech in Agricultural Engineering,4 years
M.Sc. in Agriculture,2 years
M.Sc. in Horticulture,2 years
M.Sc. in Forestry,2 years
Ph.D. in Agriculture,3 years
Ph.D. in Horticulture,3 years
Ph.D. in Forestry,3 years
